date,model,model_rmse_kw,seven_day_rmse_kw,rmse_difference_model_minus_7day_kw,model_wins
2025-08-26,DLinear,819.92001824,275.97766976,543.94234848,False
2025-08-27,DLinear,762.35379054,262.37555280,499.97823775,False
2025-08-28,DLinear,834.61772940,494.20124372,340.41648568,False
2025-08-29,DLinear,744.21188504,228.14853826,516.06334678,False
2025-08-30,DLinear,974.44715383,417.06431470,557.38283912,False
2025-08-31,DLinear,777.88899569,217.40830508,560.48069061,False
2025-09-01,DLinear,930.13495416,282.65584466,647.47910950,False
2025-09-02,DLinear,811.35825559,225.34968761,586.00856798,False
2025-09-03,DLinear,793.76033726,278.43471797,515.32561929,False
2025-09-04,DLinear,807.87789306,350.05955572,457.81833735,False
2025-09-05,DLinear,854.25990457,230.22098476,624.03891980,False
2025-09-06,DLinear,815.14947396,413.43619911,401.71327484,False
2025-09-07,DLinear,748.71372332,235.25092294,513.46280038,False
2025-09-08,DLinear,737.29604990,440.72670472,296.56934518,False
2025-09-09,DLinear,846.90430455,331.95710936,514.94719519,False
2025-09-10,DLinear,643.13873435,480.11002597,163.02870838,False
2025-09-11,DLinear,781.26802549,298.64240348,482.62562201,False
2025-09-12,DLinear,673.60541111,213.23093505,460.37447606,False
2025-09-13,DLinear,765.46876719,365.47714816,399.99161903,False
2025-09-14,DLinear,649.07577417,319.28124718,329.79452700,False
2025-09-15,DLinear,704.81646938,315.76447277,389.05199661,False
2025-09-16,DLinear,666.85581812,289.51766946,377.33814865,False
2025-09-17,DLinear,599.02740040,305.36089567,293.66650473,False
2025-09-18,DLinear,585.97746102,230.72643420,355.25102682,False
2025-09-19,DLinear,574.07939655,324.42844981,249.65094674,False
2025-09-20,DLinear,532.62371533,278.52272452,254.10099081,False
2025-09-21,DLinear,708.48652399,284.00030741,424.48621658,False
2025-09-22,DLinear,569.96163621,137.90086903,432.06076718,False
2025-09-23,DLinear,538.30744861,232.43819110,305.86925751,False
2025-09-24,DLinear,548.56409168,182.25690905,366.30718263,False
2025-09-25,DLinear,565.19691231,161.45813938,403.73877293,False
2025-09-26,DLinear,487.37922727,316.13473998,171.24448729,False
2025-09-27,DLinear,557.52652815,331.34592405,226.18060410,False
2025-09-28,DLinear,513.82307793,240.01203725,273.81104068,False
2025-09-29,DLinear,502.57940314,127.89177134,374.68763180,False
2025-09-30,DLinear,442.57716031,286.30892606,156.26823425,False
2025-10-01,DLinear,995.09360784,745.02036855,250.07323929,False
2025-10-02,DLinear,828.73674151,478.21738997,350.51935153,False
2025-10-03,DLinear,691.38592344,322.13735145,369.24857200,False
2025-10-04,DLinear,484.13049843,164.15956529,319.97093313,False
2025-10-05,DLinear,590.53881257,175.98976822,414.54904434,False
2025-10-06,DLinear,471.98130097,187.96936987,284.01193110,False
2025-10-07,DLinear,448.09035964,211.62916677,236.46119288,False
2025-10-08,DLinear,547.68464471,270.34882877,277.33581593,False
2025-10-09,DLinear,545.87303350,213.62104958,332.25198392,False
2025-10-10,DLinear,605.44616160,307.59527955,297.85088205,False
2025-10-11,DLinear,445.36863675,258.28377796,187.08485879,False
2025-10-12,DLinear,498.48031524,224.83958412,273.64073112,False
2025-10-13,DLinear,489.55445892,213.76840118,275.78605774,False
2025-10-14,DLinear,366.51526427,226.34592822,140.16933605,False
2025-10-15,DLinear,454.27205368,358.69627710,95.57577659,False
2025-10-16,DLinear,417.73639455,370.18504198,47.55135257,False
2025-10-17,DLinear,447.09274749,217.84736567,229.24538182,False
2025-10-18,DLinear,430.92280106,196.57636993,234.34643113,False
2025-10-19,DLinear,406.63678788,259.65394782,146.98284006,False
2025-10-20,DLinear,372.49222203,291.44872552,81.04349651,False
2025-10-21,DLinear,392.96185429,308.05948002,84.90237428,False
2025-10-22,DLinear,372.52149154,313.52381450,58.99767704,False
2025-10-23,DLinear,367.28785749,201.85561703,165.43224045,False
2025-10-24,DLinear,343.17276236,136.06727875,207.10548361,False
2025-10-25,DLinear,356.94328279,159.72635173,197.21693107,False
2025-10-26,DLinear,341.67539630,139.42700257,202.24839373,False
2025-10-27,DLinear,445.88170343,354.23405464,91.64764879,False
2025-10-28,DLinear,310.20908812,172.62632769,137.58276043,False
2025-10-29,DLinear,390.57556246,364.86818172,25.70738074,False
2025-10-30,DLinear,330.19313311,147.96350136,182.22963175,False
2025-10-31,DLinear,372.45222438,339.24639798,33.20582639,False
2025-11-01,DLinear,314.57056692,155.61752430,158.95304262,False
2025-11-02,DLinear,289.68298505,179.58350861,110.09947644,False
2025-11-03,DLinear,338.10930109,270.10112896,68.00817213,False
2025-11-04,DLinear,298.27611514,201.83832410,96.43779105,False
2025-11-05,DLinear,265.72658474,130.57890726,135.14767749,False
2025-11-06,DLinear,323.37915745,299.23706928,24.14208817,False
2025-11-07,DLinear,344.38578161,283.84384972,60.54193189,False
2025-11-08,DLinear,245.35387611,97.67223763,147.68163849,False
2025-11-09,DLinear,283.39954975,207.66442511,75.73512464,False
2025-11-10,DLinear,289.30798717,258.95937000,30.34861717,False
2025-11-11,DLinear,225.06884487,131.96383945,93.10500542,False
2025-11-12,DLinear,241.32409586,174.62280987,66.70128599,False
2025-11-13,DLinear,312.85371371,258.32699325,54.52672046,False
2025-11-14,DLinear,269.18079519,219.08339674,50.09739845,False
2025-11-15,DLinear,236.38450541,144.84090833,91.54359708,False
2025-11-16,DLinear,274.27450885,210.87803085,63.39647799,False
2025-11-17,DLinear,220.41091697,134.51895250,85.89196446,False
2025-11-18,DLinear,315.72202632,239.88698925,75.83503707,False
2025-11-19,DLinear,238.21627073,167.85902474,70.35724599,False
2025-11-20,DLinear,257.83072562,170.22928182,87.60144380,False
2025-11-21,DLinear,215.53068980,138.14849585,77.38219395,False
2025-11-22,DLinear,218.59313720,132.22462856,86.36850864,False
2025-11-23,DLinear,285.89305668,240.58165472,45.31140197,False
2025-11-24,DLinear,226.18761346,179.76997869,46.41763477,False
2025-11-25,DLinear,230.70710413,150.04770408,80.65940004,False
2025-11-26,DLinear,249.15313513,161.29580379,87.85733135,False
2025-11-27,DLinear,230.26189574,157.91512494,72.34677079,False
2025-11-28,DLinear,235.14582581,115.98614909,119.15967672,False
2025-11-29,DLinear,465.78040636,402.02866483,63.75174153,False
2025-11-30,DLinear,361.40385435,270.43313711,90.97071724,False
2025-12-01,DLinear,300.11978630,202.88320411,97.23658220,False
2025-12-02,DLinear,361.19059559,250.00906418,111.18153141,False
2025-12-03,DLinear,317.19702487,198.10033736,119.09668752,False
2025-12-04,DLinear,206.84554780,130.95368613,75.89186167,False
2025-12-05,DLinear,259.88999204,147.30738234,112.58260969,False
2025-12-06,DLinear,298.76120900,208.34704836,90.41416064,False
2025-12-07,DLinear,232.99765928,110.97376679,122.02389250,False
2025-12-08,DLinear,308.14466017,167.03061888,141.11404129,False
2025-12-09,DLinear,245.46619683,158.84708953,86.61910729,False
2025-12-10,DLinear,333.99556393,173.20646494,160.78909899,False
2025-12-11,DLinear,203.01269909,148.82223678,54.19046231,False
2025-12-12,DLinear,361.33022751,237.69781949,123.63240802,False
2025-12-13,DLinear,320.35219885,166.28881055,154.06338829,False
2025-12-14,DLinear,266.84437831,108.72037709,158.12400121,False
2025-12-15,DLinear,285.41358154,172.46151904,112.95206249,False
2025-12-16,DLinear,269.60889100,127.65533577,141.95355523,False
2025-12-17,DLinear,226.10606395,99.96078782,126.14527613,False
2025-12-18,DLinear,212.28636248,224.74556641,-12.45920393,True
2025-12-19,DLinear,261.24425003,159.93396816,101.31028187,False
2025-12-20,DLinear,218.42619622,133.55501124,84.87118498,False
2025-12-21,DLinear,268.82104766,153.06674362,115.75430404,False
2025-12-22,DLinear,230.54563001,76.00321822,154.54241179,False
2025-12-23,DLinear,206.25604719,107.02327536,99.23277183,False
2025-12-24,DLinear,254.40820253,150.33034409,104.07785845,False
2025-12-25,DLinear,257.64373148,125.22251266,132.42121882,False
2025-12-26,DLinear,316.58300675,168.56289962,148.02010713,False
2025-12-27,DLinear,274.68605000,116.64693403,158.03911597,False
2025-12-28,DLinear,211.56926653,152.01174568,59.55752085,False
2025-12-29,DLinear,263.88134894,137.72769842,126.15365052,False
2025-12-30,DLinear,207.31739165,209.15998830,-1.84259665,True
2025-12-31,DLinear,276.15242818,129.89588595,146.25654222,False
2025-02-01,StructuralResidualHybrid,1484.16297020,119.76409334,1364.39887686,False
2025-02-02,StructuralResidualHybrid,1557.03878922,177.50460891,1379.53418030,False
2025-02-03,StructuralResidualHybrid,1657.28656210,146.52044091,1510.76612119,False
2025-02-04,StructuralResidualHybrid,1395.30504070,197.02187096,1198.28316974,False
2025-02-05,StructuralResidualHybrid,1416.45369053,176.24931468,1240.20437584,False
2025-02-06,StructuralResidualHybrid,1474.12915346,115.20857313,1358.92058033,False
2025-02-07,StructuralResidualHybrid,1603.37317964,312.45038885,1290.92279080,False
2025-02-08,StructuralResidualHybrid,1794.66890981,231.31417005,1563.35473976,False
2025-02-09,StructuralResidualHybrid,1432.53934034,200.68029961,1231.85904073,False
2025-02-10,StructuralResidualHybrid,1716.70297807,367.86382576,1348.83915231,False
2025-02-11,StructuralResidualHybrid,1678.11727424,230.96196840,1447.15530584,False
2025-02-12,StructuralResidualHybrid,1642.60447463,220.42664055,1422.17783408,False
2025-02-13,StructuralResidualHybrid,1837.36905856,399.02386744,1438.34519112,False
2025-02-14,StructuralResidualHybrid,1599.44737177,208.21040215,1391.23696962,False
2025-02-15,StructuralResidualHybrid,1854.07659927,158.52980497,1695.54679431,False
2025-02-16,StructuralResidualHybrid,1563.08125267,205.95852699,1357.12272568,False
2025-02-17,StructuralResidualHybrid,1912.21045850,225.21119996,1686.99925854,False
2025-02-18,StructuralResidualHybrid,1729.32813558,190.15489976,1539.17323581,False
2025-02-19,StructuralResidualHybrid,1717.75692397,215.90623221,1501.85069177,False
2025-02-20,StructuralResidualHybrid,1729.33781422,201.29304879,1528.04476543,False
2025-02-21,StructuralResidualHybrid,1751.61866556,164.92613549,1586.69253006,False
2025-02-22,StructuralResidualHybrid,1628.96674175,131.84323270,1497.12350905,False
2025-02-23,StructuralResidualHybrid,1715.66950296,196.92805245,1518.74145051,False
2025-02-24,StructuralResidualHybrid,1806.07603087,242.70068481,1563.37534607,False
2025-02-25,StructuralResidualHybrid,2008.70175748,403.19226991,1605.50948757,False
2025-02-26,StructuralResidualHybrid,1841.74617002,211.48351003,1630.26265999,False
2025-02-27,StructuralResidualHybrid,1910.64344554,291.71884648,1618.92459906,False
2025-02-28,StructuralResidualHybrid,1802.41847188,201.58792349,1600.83054839,False
2025-03-01,StructuralResidualHybrid,1611.85770251,352.24872022,1259.60898229,False
2025-03-02,StructuralResidualHybrid,1503.71596220,570.63664073,933.07932147,False
2025-03-03,StructuralResidualHybrid,1503.61459794,413.68740792,1089.92719002,False
2025-03-04,StructuralResidualHybrid,1906.09434546,223.51803877,1682.57630669,False
2025-03-05,StructuralResidualHybrid,1987.25561883,231.74642096,1755.50919788,False
2025-03-06,StructuralResidualHybrid,1777.46640603,189.70110172,1587.76530432,False
2025-03-07,StructuralResidualHybrid,1778.35202746,225.07149008,1553.28053738,False
2025-03-08,StructuralResidualHybrid,1885.79131455,288.95901035,1596.83230420,False
2025-03-09,StructuralResidualHybrid,2011.57670460,383.76673123,1627.80997336,False
2025-03-10,StructuralResidualHybrid,1668.09806759,278.49340630,1389.60466128,False
2025-03-11,StructuralResidualHybrid,1835.49620560,258.91919409,1576.57701152,False
2025-03-12,StructuralResidualHybrid,1949.29874361,270.94654608,1678.35219753,False
2025-03-13,StructuralResidualHybrid,1655.85484698,391.70174047,1264.15310651,False
2025-03-14,StructuralResidualHybrid,2047.09712213,312.47847821,1734.61864392,False
2025-03-15,StructuralResidualHybrid,1702.55278423,324.03027527,1378.52250896,False
2025-03-16,StructuralResidualHybrid,1883.10223506,284.10059425,1599.00164081,False
2025-03-17,StructuralResidualHybrid,2136.67605352,472.48451116,1664.19154236,False
2025-03-18,StructuralResidualHybrid,1920.89600959,249.96494047,1670.93106912,False
2025-03-19,StructuralResidualHybrid,2156.18043361,303.87436447,1852.30606915,False
