date,seven_day_mae_kw,seven_day_rmse_kw,ssa_mae_kw,ssa_rmse_kw,rmse_difference_ssa_minus_7day_kw,ssa_wins,effective_seven_day_mae_kw,effective_seven_day_rmse_kw,effective_ssa_mae_kw,effective_ssa_rmse_kw
2025-02-13,226.6863667656,399.0238674399,264.2722421949,410.8937236818,11.8698562419,False,447.1621481404,560.4265344456,479.9421742140,565.1771422038
2025-02-14,108.7420321428,208.2104021513,168.9897009917,315.4010601665,107.1906580152,False,214.5048305284,292.4302119115,312.9034492326,434.0775048911
2025-02-15,83.0294008928,158.5298049663,208.5529060364,291.3302653730,132.8004604067,False,163.7840236789,222.6541228564,299.5415214761,357.1261541473
2025-02-16,101.8202692458,205.9585269849,202.7542226811,291.9527318920,85.9942049071,False,200.8509420740,289.2674672776,284.1018848821,355.2838355516
2025-02-17,131.5957282737,225.2111999593,309.2803530901,440.9967857572,215.7855857979,False,259.5860941289,316.3077264559,485.4274629208,579.6529992426
2025-02-18,94.2878624999,190.1548997638,147.8143152278,228.3616563121,38.2067565483,False,185.9924958903,267.0713713598,213.6369919039,281.2640631942
2025-02-19,109.4539495042,215.9062322078,147.7008308553,234.5798692101,18.6736370023,False,210.1515830480,299.1684510837,214.2302348171,294.7511109973
2025-02-20,109.6564920637,201.2930487914,210.5541756948,311.9522071473,110.6591583558,False,210.5404647623,278.9198301737,303.9416267302,389.6543352289
2025-02-21,92.4515749997,164.9261354944,154.7784642965,237.6383060598,72.7121705654,False,177.5070239995,228.5283569378,237.2853209527,302.4247128571
2025-02-22,72.6495616074,131.8432327007,155.9787675387,230.0219745664,98.1787418657,False,143.3086692763,185.1729984637,211.8998317955,269.9520692761
2025-02-23,104.6438778769,196.9280524450,231.1939507561,318.6908827546,121.7628303095,False,203.6309301157,274.7090531730,343.8378721421,401.8419428776
2025-02-24,132.9112668651,242.7006848058,285.2409691741,401.6123839066,158.9116991008,False,255.0624660955,336.2951525077,453.9263302207,529.6806517927
2025-02-25,228.9709839283,403.1922699071,261.9924397684,372.4231758467,-30.7690940604,True,439.5214731423,558.6792899091,430.6073650246,496.8832772411
2025-02-26,113.0313652781,211.4835100308,142.2718510471,212.1139027222,0.6303926914,False,216.9452607623,293.0398356654,224.6320176387,275.5532948793
2025-02-27,144.9681603177,291.7188464804,262.1273589700,363.8794758380,72.1606293576,False,278.2919215243,404.2174015506,419.4471816879,479.0707698295
2025-02-28,98.2713398810,201.5879234914,194.5320800944,287.5972185628,86.0092950714,False,188.6551986665,279.3283811064,283.5036505847,359.1479544073
2025-03-01,167.3099306548,352.2487202170,241.8634729704,367.4587264476,15.2100062306,False,321.2243539049,488.0901402874,391.5010459330,488.8842414109
2025-03-02,286.2045459322,570.6366407247,350.2359512645,500.8833992033,-69.7532415215,True,549.5105584755,790.6973233786,514.7955234440,643.8543471844
2025-03-03,231.9042055555,413.6874079210,305.7964148845,400.9702434987,-12.7171644223,True,433.6909818181,565.7286657692,382.9352241612,465.7759077838
2025-03-04,108.9646298612,223.5180387683,276.8686473851,363.5730785458,140.0550397775,False,203.7780090910,305.6669345659,308.7214821861,379.7956392767
2025-03-05,137.1808881943,231.7464209549,267.7910321624,361.2465236268,129.5001026718,False,256.5460766231,316.9194686938,357.2292514594,432.3022187302
2025-03-06,108.2297919642,189.7011017152,136.8081012530,210.3891211327,20.6880194174,False,202.4037667903,259.4213628780,176.3820585082,242.1088573851
2025-03-07,106.3935140871,225.0714900818,169.1809962821,246.4598804990,21.3883904172,False,198.9696886823,307.7913210522,223.1307632532,289.5333233748
2025-03-08,176.0038541667,288.9590103535,217.6300406191,303.4779639454,14.5189535919,False,329.1500649352,395.1592247171,305.9685720005,372.6018364209
2025-03-09,193.1283799606,383.7667312346,187.5716178502,304.2077468960,-79.5589843386,True,365.9274411661,528.2527576877,278.3234429085,390.8372641800
2025-03-10,137.0007884920,278.4934063030,213.0090448808,372.4154804336,93.9220741305,False,256.2092337662,380.8472294699,332.6327088935,492.1762533235
2025-03-11,133.1606266866,258.9191940864,323.0278906960,464.9332479224,206.0140538360,False,262.5724968692,363.6499545784,515.9244396237,620.9105129881
2025-03-12,150.9176054565,270.9465460827,232.8365827944,324.8704625361,53.9239164534,False,282.1539243047,370.5263949400,357.4020879219,419.0755441051
2025-03-13,210.9277851188,391.7017404690,280.9670700061,476.2120133077,84.5102728386,False,394.3969647491,535.6625403506,483.1071591636,644.6547079249
2025-03-14,166.8324159724,312.4784782148,369.0595581751,564.8088432236,252.3303650088,False,311.9512003713,427.3226430922,604.5924672268,753.4620898929
2025-03-15,165.7044224208,324.0302752719,270.2024003986,457.3737808762,133.3435056043,False,309.8581439705,443.1200877434,459.8775111205,618.2165682958
2025-03-16,141.1367467263,284.1005942509,280.0480095740,458.2926438022,174.1920495513,False,260.5441677658,386.0166824957,446.4443352214,603.7151296870
2025-03-17,276.8264791667,472.4845111592,322.1511734959,489.3066845024,16.8221733432,False,504.5903661846,637.9039275962,516.1624963072,646.3363092434
2025-03-18,147.1947664679,249.9649404692,152.4642072334,236.8884159862,-13.0765244831,True,268.3043844478,337.4790362132,260.0503330948,314.0819188842
2025-03-19,174.7823196426,303.8743644668,178.2897070341,261.0240262672,-42.8503381996,True,318.5905573233,410.2624450359,265.5168312718,329.7173896067
2025-03-20,82.0160154758,145.2404984379,169.3807031856,252.6287955675,107.3882971296,False,149.4975471965,196.0899930203,257.1363674492,322.2255421602
2025-03-21,201.6889751981,348.9698072717,314.9089094377,446.8924815144,97.9226742427,False,367.6356003611,471.1460495398,498.3950037316,584.7251888411
2025-03-22,106.2627583337,188.7077612266,142.6503141117,248.8861731014,60.1784118748,False,193.6941417728,254.7753827602,227.0841404544,324.9448749046
2025-03-23,174.8333046626,320.9283171366,256.1263666102,404.9880390737,84.0597219371,False,310.8147638447,427.9044228487,387.6504056358,523.3721103830
2025-03-24,120.8070559524,222.1410534895,213.6558897416,325.2772207540,103.1361672645,False,214.7680994709,296.1880713194,350.2503870646,424.8508075997
2025-03-25,124.0993970239,241.7969210851,190.9840975185,307.6706615932,65.8737405081,False,223.3788901787,324.4046113778,289.9825291892,397.1478568994
2025-03-26,190.7243241072,368.0638416242,314.8547191786,485.3685903245,117.3047487003,False,339.0654185186,490.7517888322,514.4385843497,640.2430338868
2025-03-27,107.9742755951,191.7982113976,133.6990756456,223.2228585414,31.4246471437,False,191.8321590827,255.7299240538,205.9457816738,288.2117473118
2025-03-28,111.5524262897,190.5642813051,189.4988330086,270.3197919246,79.7555106195,False,198.2139061727,254.0849955386,283.2475979918,343.7749667256
2025-03-29,234.1272896827,390.4003071150,247.2010452521,359.2738566689,-31.1264504461,True,416.1478858910,520.5335348555,398.4822703466,470.6646430706
2025-03-30,139.8830909719,240.3251349598,116.5621903797,186.3466699172,-53.9784650426,True,248.6304440912,320.4333718090,186.2901337790,242.9792812561
2025-03-31,185.1163142857,328.5364152002,228.3560786162,352.1258778316,23.5894626314,False,329.0662377423,438.0485188237,364.4316132367,461.0221204103
2025-04-01,229.4692973210,471.8279390780,293.7692974021,446.8714230079,-24.9565160701,True,407.9331125215,629.1039144996,452.6158751216,580.5424261869
2025-04-02,274.2682313493,473.4600626990,332.0794993615,455.5391175795,-17.9209451195,True,481.6389010455,627.4190068786,496.7961605770,578.9170909323
2025-04-03,139.8131075395,265.6668553883,363.2823084693,520.6331309056,254.9662755173,False,242.5673191047,349.9287094258,531.0730420328,659.7942253746
2025-04-04,193.8963482145,369.8679306204,239.8613944385,377.3928752251,7.5249446047,False,336.3984836493,487.1793563816,347.5751805967,478.5405370550
2025-04-05,134.1432326391,243.6454343543,225.5865777775,360.2708213869,116.6253870326,False,232.7304277112,320.9227296212,374.3687258769,471.2150722072
2025-04-06,105.0138518847,195.9968040346,185.0143172841,266.0870304547,70.0902264200,False,182.1927068842,258.1613298625,252.6190585274,323.4170629072
2025-04-07,192.0759185515,392.9641092635,233.9937961995,383.8436797262,-9.1204295373,True,333.2401478483,517.6009758698,354.8590661646,493.6316642593
2025-04-08,141.3598273809,292.5175290663,240.1254097412,341.4587638837,48.9412348174,False,245.2507848536,385.2956413438,366.4736185541,437.0169396962
2025-04-09,202.6467761904,366.5143173195,269.2309327206,448.9187798410,82.4044625215,False,360.2609051146,488.6857564259,421.5077929908,587.3735829814
2025-04-10,144.1426873012,275.7132529909,324.5528678607,454.2119849348,178.4987319440,False,250.0788514624,363.1615342067,458.7009659708,570.9885134147
2025-04-11,185.9899330358,347.9299401785,262.1059474609,403.2931994923,55.3632593138,False,322.6813055080,458.2832689433,408.0190345967,521.9781765117
2025-04-12,160.1947589285,265.7357616293,253.7532195862,402.0986461778,136.3628845485,False,277.8585604130,350.0192211146,426.1846474172,526.9826134399
2025-04-13,105.9736744044,211.6729857700,213.4424856345,337.6085961676,125.9356103977,False,183.8023134246,278.8093439676,322.1982549647,430.2745244829
2025-04-14,130.2929688492,223.6483858274,220.4683342071,315.2571971011,91.6088112737,False,226.0107397588,294.5830984001,333.0638854372,401.6393866621
2025-04-15,231.3624393851,413.7721937480,270.0615396174,445.8628647272,32.0906709793,False,401.3759306371,545.0087648679,440.9111040266,581.5743104607
2025-04-16,127.4566596229,243.1696376391,257.0621211861,439.8673455781,196.6977079389,False,218.4842931970,318.3837823219,411.6339366184,572.1757002225
2025-04-17,105.8863493052,188.7008483222,240.6973100502,344.2121862407,155.5113379185,False,179.3789910918,245.6097666556,342.1559164227,423.2968580381
2025-04-18,103.2369886904,194.8223435757,201.5515525924,299.1556201525,104.3332765767,False,174.8937737814,253.5774008671,287.6206064667,371.6252953975
2025-04-19,137.0999814486,235.3675725637,144.6001877826,221.3792869826,-13.9882855811,True,232.2634979835,306.3503716315,208.7281612333,270.0567198927
2025-04-20,140.8225525793,240.4106132087,195.4327644418,283.9048011003,43.4941878917,False,238.5699714285,312.9143063269,286.2741852345,353.2834173020
2025-04-21,211.5764993054,370.7942866535,289.8095675148,422.4913896498,51.6971029963,False,358.4354811762,482.6194461617,435.3931507127,537.7635925506
2025-04-22,133.9539369047,226.7911137753,207.9269518362,344.1582809455,117.3671671702,False,226.9337284033,295.1874008429,336.1202404345,441.6570423837
2025-04-23,158.1323671625,267.0686512052,237.6159826708,341.7292637359,74.6606125308,False,261.7363318552,343.5931783431,354.7021657623,431.1297208328
2025-04-24,192.1136069444,354.1167690206,316.1680890893,495.7936776998,141.6769086792,False,317.9811425287,455.5836322359,490.6399360082,631.4962801718
2025-04-25,146.8748174600,270.5397445325,196.8594016444,318.3435071088,47.8037625764,False,243.1031461407,348.0588615421,313.4029137629,404.8137974932
2025-04-26,276.2920722222,508.4582981066,335.1902736800,531.0035024697,22.5452043632,False,468.0712304201,661.8005483397,554.0118118597,687.9585606349
2025-04-27,125.8500310512,249.4822568991,148.2892257396,233.7018382838,-15.7804186153,True,210.7252888698,322.8283635053,240.1105398529,301.4616337768
2025-04-28,354.5311978175,621.9528579617,389.3162041342,671.0919039953,49.1390460336,False,593.5278257476,804.8025580329,619.5684602195,865.3528629177
2025-04-29,186.1704990078,307.9348896842,506.6496918175,657.2812822180,349.3463925338,False,308.0611893266,396.1686971876,694.8322498294,817.2393881377
2025-04-30,210.0589629959,344.5221393146,342.0752356265,513.0945594548,168.5724201402,False,347.6218574710,443.2396415364,548.0379468230,657.9536553820
2025-05-01,133.6833977178,231.8583808395,214.2805570424,321.0893804980,89.2309996585,False,221.2280280783,298.2938252785,331.0839111835,402.4810319283
2025-05-02,339.1230472224,552.7091891797,377.7553871292,640.0936729876,87.3844838079,False,561.2828758622,711.0797242240,587.4990186104,819.5337965560
2025-05-03,118.9119125993,212.3266778396,313.2394045713,379.0888298642,166.7621520246,False,196.8096169131,273.1657042893,337.4683991455,411.7341706539
2025-05-04,206.2827306549,319.9972850685,349.3552689989,463.8258528650,143.8285677965,False,341.4319341546,411.6877203577,504.5476848132,580.7159238625
2025-05-05,206.9767482141,327.8266992722,262.5923102732,374.6245371360,46.7978378639,False,342.5822039406,421.7605362530,398.4938965872,467.6575116923
2025-05-06,207.5859175595,366.3095535830,212.3217279246,280.5567907261,-85.7527628569,True,343.5904842364,471.2700768327,267.8746301495,327.9382310995
2025-05-07,101.0662058531,191.3082405100,213.8289073391,288.0814985930,96.7732580831,False,167.2819958947,246.1247552022,305.9015352531,357.1464297804
2025-05-08,185.2070183531,311.3731965747,271.8909553308,393.2578482983,81.8846517237,False,303.0660300324,398.3099313820,372.3261801423,484.4452044180
2025-05-09,119.8389992064,225.2241443802,266.0023827830,343.6776710302,118.4535266501,False,193.8968077047,286.4845386831,335.4525622474,401.9894829654
2025-05-10,205.1061046627,361.5443013244,226.1363047657,345.8643672817,-15.6799340427,True,331.8570682183,459.8834315187,296.8348395229,419.5337240004
2025-05-11,165.7710645834,268.2696986039,252.6960830392,316.3645078457,48.0948092418,False,268.2138573035,341.2383741481,294.1970344712,355.7699651416
2025-05-12,290.7286293649,495.5448379071,381.2944677555,548.6197337734,53.0748958663,False,470.3923890848,630.3317731555,570.1131517142,685.8895055690
2025-05-13,93.0266162698,157.2120288389,217.6718391139,332.8571297146,175.6451008756,False,150.5149746388,199.9733007369,317.4808166338,405.3719685861
2025-05-14,128.9563921626,239.1902050163,245.1696742626,363.7150706866,124.5248656703,False,213.4450395730,307.7265804101,370.1646717758,453.5494856236
2025-05-15,144.4805064482,263.7202376481,176.6436267285,285.4336000236,21.7133623755,False,233.7661898873,335.4514713861,264.7268443479,355.4963459969
2025-05-16,243.9373306547,406.1676332324,295.2304545705,418.4639601452,12.2963269128,False,394.6850982343,516.6441961842,450.0284480949,528.6206082509
2025-05-17,190.2206196427,351.8392572627,328.2259819958,552.0500250267,200.2107677640,False,307.7726704652,447.5386401618,526.1742480471,701.5236002575
2025-05-18,161.8474966268,303.3251984244,355.4037724878,486.4829118626,183.1577134382,False,264.8114194803,388.0148095437,510.9132315281,606.1466341654
2025-05-19,241.5259513888,477.6798373136,380.6715805283,556.0939766537,78.4141393401,False,390.7404632421,607.6074788500,579.2033976335,698.3815647464
2025-05-20,162.4127375992,313.9719496070,332.4370921753,578.3969749831,264.4250253761,False,262.7487943820,399.3714736510,531.0101851275,734.9076122803
2025-05-21,221.6860895835,385.0836882637,298.4204263266,418.9828413995,33.8991531358,False,358.6625895670,489.8254552410,409.3753933163,514.5728363815
2025-05-22,95.6256333334,178.9850894555,185.1405369315,270.9696553577,91.9845659021,False,154.7074728734,227.6685648899,281.2258130296,336.0485562074
2025-05-23,110.1366942462,195.5095829054,179.8374625285,274.9227923985,79.4132094931,False,178.1919093100,248.6876884925,272.3774423283,341.6979458087
2025-05-24,201.4387568453,344.2348523178,238.8423892522,364.6964420177,20.4615896999,False,325.9209011237,437.8658561393,361.6397860529,456.9653536592
2025-05-25,141.3495118054,255.1571262743,177.9389227583,288.6958174932,33.5386912189,False,228.6999308184,324.5592154838,275.5197382989,362.6957624126
2025-05-26,236.9093706347,446.3674025543,293.6560421023,548.0048954779,101.6374929236,False,383.3140378808,567.7782004938,462.1676622803,694.5106307198
2025-05-27,141.2975604165,249.9890466100,323.5051718453,436.2034623305,186.2144157205,False,228.6162775278,317.9854313177,436.0472875515,528.3467608166
2025-05-28,244.1155978173,412.3741115009,306.8305251304,487.7332828036,75.3591713027,False,394.9735515246,524.5388207526,474.5833621666,614.5691781361
2025-05-29,173.8829081347,320.9614485474,221.0125230959,323.8808495794,2.9194010320,False,275.1553711143,403.7508236214,303.3172692001,387.2315777815
2025-05-30,187.9815044642,338.3558445748,322.4932151794,418.8404484358,80.4846038610,False,297.4652378335,425.6319615408,422.8742204961,503.6987018692
2025-05-31,166.2370356150,308.2169960514,233.8449946618,327.4354062644,19.2184102131,False,263.0564080062,387.7190440567,319.3140845639,399.2164455415
2025-06-01,460.0277560516,828.6573385543,503.3450229668,849.0850732503,20.4277346959,False,727.9560095762,1042.4027074138,734.8880729504,1060.7131232178
2025-06-02,353.1679581346,573.1691310039,559.2658949860,638.4152685871,65.2461375832,False,571.4178043334,729.0696764991,614.7671862073,705.9497867233
2025-06-03,225.3845550598,379.2878030777,263.6147819633,364.1450949909,-15.1427080868,True,360.6152803179,479.7653385787,349.6192722828,441.5368141754
2025-06-04,201.5239124999,435.0104668050,251.8246673056,389.6445203487,-45.3659464563,True,318.8949824175,547.2178514004,353.1180056792,478.7827513443
2025-06-05,224.3637267856,384.1703332781,186.3923634563,249.8523858620,-134.3179474161,True,355.0371061222,483.2639221126,243.2341120624,288.2919088801
2025-06-06,379.2590815476,615.5929034661,305.1200989563,440.8714437210,-174.7214597452,True,600.1462389324,774.3800475566,428.5099788883,543.7243215684
2025-06-07,280.0228049602,492.7889018999,252.3388538206,345.5032827976,-147.2856191023,True,443.1130100469,619.8997602798,347.0228738121,422.4066488143
2025-06-08,288.3201671628,515.4136409772,578.6136307686,874.0831833937,358.6695424165,False,456.2429018840,648.3603653713,860.2292355657,1091.0048195697
2025-06-09,147.3552263888,253.0876238213,267.6955604279,394.8435470356,141.7559232142,False,233.1775010987,318.3695020967,390.4374128538,486.8253881996
2025-06-10,149.3618804565,250.8833146488,194.1982138079,291.3519784661,40.4686638173,False,236.3528657774,315.5966094394,254.1110784044,350.6981861326
2025-06-11,205.5016260912,396.9750226966,246.3557776322,370.5971629547,-26.3778597419,True,325.1893863422,499.3714762202,336.6988238070,452.1519998511
2025-06-12,101.2185152778,179.7235446153,240.4233260222,337.9480440610,158.2244994457,False,156.7254430108,223.6375610062,318.2448192771,408.4533118058
2025-06-13,194.7594306550,341.6658401764,253.3376679839,346.0938379032,4.4279977268,False,301.5629894013,425.1491664029,339.1470476894,418.6105544414
2025-06-14,144.7345080358,288.4166237688,299.8598221871,438.4873843400,150.0707605711,False,224.1050447005,358.8889281666,393.7335328759,532.5448733740
2025-06-15,154.9896663691,251.0840178469,193.3120149971,307.1835759956,56.0995581487,False,239.9839995392,312.4343973913,278.4301245750,374.6977611145
2025-06-16,112.8194791668,212.1001506220,198.2087926576,294.2003169502,82.1001663282,False,174.6882258067,263.9251327680,278.4908651367,352.4422527449
2025-06-17,183.6931644842,384.5997523931,270.4356881932,456.3208962645,71.7211438713,False,284.4281256529,478.5736380444,387.2024619395,563.4394674610
2025-06-18,123.3588311511,220.6193507807,283.3464443514,395.3130998273,174.6937490466,False,191.0072224275,274.5259316189,382.2008371677,477.8817883382
2025-06-19,217.9586337301,427.6601133547,266.8430146859,410.2331996222,-17.4269137325,True,337.4843360983,532.1554551741,393.0302802315,504.6488808320
2025-06-20,156.1202538689,255.0292231057,165.3871336871,288.4593302255,33.4301071198,False,241.7345866357,317.3435821263,252.2559776306,358.0912373401
2025-06-21,286.2827227185,550.7124180102,266.6908099482,427.5563712737,-123.1560467365,True,443.2764738868,685.2746101978,404.1872995871,530.2804852880
2025-06-22,185.7651188492,299.2430020256,326.6480841677,531.4925623449,232.2495603193,False,287.6363130569,372.3606457040,502.2890895604,660.9981719439
2025-06-23,141.3282684524,246.8492539691,205.4737918316,296.7618720727,49.9126181036,False,218.8308672811,307.1649026955,296.6583975662,360.6605946949
2025-06-24,308.4101696430,543.1753576079,379.1301114810,635.3947549498,92.2193973419,False,477.5383271891,675.8959291287,577.3253101858,789.3329232453
2025-06-25,180.3751524802,355.4104641124,292.5548752928,398.1414472022,42.7309830898,False,279.2905586790,442.2521797035,405.5540538053,483.8796656238
2025-06-26,178.8358486117,310.8652948060,262.9044789783,397.1304972968,86.2652024908,False,276.9071204311,386.8227531383,378.4218259875,484.3657198051
2025-06-27,135.2840384922,271.5017292675,176.1115867344,280.5796113609,9.0778820934,False,209.4720596009,337.8410139434,260.6584316718,344.9250224037
2025-06-28,180.3540760912,344.4987646469,165.3503033600,269.3240683551,-75.1746962918,True,279.2579242702,428.6742933998,245.8390370034,333.4755254155
2025-06-29,164.4513732145,307.4851985352,222.9100873206,399.6070259152,92.1218273800,False,254.6343843322,382.6167572707,321.1867828367,494.2805311687
2025-06-30,154.3115106147,272.5672756790,195.2556493997,289.8859752054,17.3186995264,False,238.9339519195,339.1669181320,286.0881648236,354.8695383682
2025-07-01,245.1369900792,407.8893504760,302.7134195358,426.5179044671,18.6285539910,False,379.5669523808,507.5538638863,443.2911830951,526.9894389229
2025-07-02,408.2723772820,641.7269407735,327.6110109632,487.6280570475,-154.0988837260,True,645.9758536897,807.2549582163,499.0698951999,608.3977228969
2025-07-03,122.5063749010,208.7344733439,320.1161431709,490.9320180707,282.1975447268,False,193.7961945057,262.5755075584,476.5274748089,609.0928381526
2025-07-04,261.8044692463,511.7862591970,283.1487961674,473.7502495288,-38.0360096682,True,414.2427864997,643.7972701508,421.6513604718,588.6660533220
2025-07-05,238.7230922618,441.3944119744,131.9400125284,198.2902833810,-243.1041285935,True,377.7334215069,555.2484547679,183.4207300879,239.6268353622
2025-07-06,197.6858520833,325.0654282997,297.8890708685,492.0421497356,166.9767214359,False,312.8083813186,408.9133816396,445.9270922001,615.8433206512
2025-07-07,203.6839614088,332.8585015492,324.4294934731,479.3003688793,146.4418673300,False,322.3086665621,418.7166228768,481.2922919869,597.9584569054
2025-07-08,192.2510446426,339.4165078269,213.1029565489,309.5908105106,-29.8256973162,True,304.2211978018,426.9662141827,316.0764584016,380.0563846543
2025-07-09,143.5382473217,259.7374817399,222.8439098944,324.4637837654,64.7263020255,False,227.1374463112,326.7346363635,323.6509448118,403.0576182735
2025-07-10,124.9584988094,248.0525302701,128.0912142378,210.4935459424,-37.5589843277,True,197.7365255886,312.0356474312,185.5714131196,256.2219855073
2025-07-11,266.9010788690,470.6073359593,316.6589902796,552.9516504052,82.3443144460,False,422.3489599685,591.9966412035,478.9468441828,692.8418840265
2025-07-12,114.1398136905,218.0851807347,211.4650820804,315.2640537239,97.1788729892,False,180.6168480377,274.3384656935,304.9522583155,381.8476842553
2025-07-13,241.5905139880,452.1051792558,314.0958061151,482.1726642022,30.0674849464,False,382.2970770799,568.7220048208,467.2610688796,602.0408884479
2025-07-14,142.8624819445,259.8713818597,211.7327027976,325.0344950860,65.1631132263,False,226.0681032968,326.9030749217,329.2862329521,408.0732260791
2025-07-15,238.6825325396,441.0501560933,277.3707422663,485.5674576500,44.5173015568,False,381.8920384126,557.8892222510,427.6972951342,610.2518570723
2025-07-16,146.5548768849,258.6199815458,226.5636354882,324.5294171456,65.9094355997,False,237.1224719101,328.9639585990,338.5392445354,400.4347720032
2025-07-17,125.8836110122,232.3886401684,136.3858370134,200.8434793563,-31.5451608120,True,203.6768329057,295.5977590992,202.1441388980,247.6715127094
2025-07-18,208.2322737106,378.8329024561,259.6455747875,443.2293649222,64.3964624661,False,336.9151224722,481.8744881762,390.2008265208,559.2538054524
2025-07-19,123.4600457341,213.4797659068,313.2637792398,404.0401927926,190.5604268858,False,199.7555664526,271.5457191426,413.3814135079,486.5779703021
2025-07-20,113.3139339283,202.6300371070,177.3637272068,283.1988721794,80.5688350724,False,183.3393894057,257.7448917108,266.6457255080,352.6629865035
2025-07-21,156.5124146822,258.3627112072,218.6678576038,329.4589415877,71.0962303804,False,253.2335645260,328.6367113828,318.4071355835,408.9110606378
2025-07-22,178.8358463296,348.7227858794,266.9356639359,367.1023710345,18.3795851551,False,289.3523788126,443.5744964905,366.0003326083,450.5302630855
2025-07-23,158.1924583332,267.3721408357,195.8686370909,280.7727911199,13.4006502842,False,255.9518426964,340.0966829503,272.4571843268,342.0100187453
2025-07-24,201.9041885911,344.7415913774,247.1354022656,371.7227482929,26.9811569155,False,326.6764399676,438.5104272121,345.2506664915,460.9170482534
2025-07-25,107.8571866069,181.7256587836,276.7227620258,390.1818115486,208.4561527650,False,174.5105041730,231.1545756641,394.1119428166,485.3131794800
2025-07-26,142.7595219247,260.1059287783,227.6303477060,344.6042188315,84.4982900532,False,233.5938003248,332.7286037747,341.3120001678,431.8343668135
2025-07-27,145.1581993055,269.5356729950,203.3535926559,271.0399707508,1.5042977559,False,237.5124894480,344.7911711785,271.3057408744,324.8812559127
2025-07-28,212.0519517857,400.0569968302,301.9178246324,456.4958504259,56.4388535957,False,343.0813642054,508.8714748730,417.5396963817,565.8395582603
2025-07-29,169.9716693452,344.2597842272,301.3203994181,383.0949845380,38.8352003108,False,280.7979072249,442.8887634249,352.6741830170,443.0987302342
2025-07-30,168.8596206352,307.4156430964,287.7476088400,412.4257513663,105.0101082699,False,279.1117083747,395.4932823545,373.9021268116,494.0701396839
2025-07-31,112.8749473214,202.7082283412,201.7442283167,282.3320818837,79.6238535425,False,182.3692327447,257.8386437054,270.0377897066,341.3678198935
2025-08-01,333.0072823413,534.6488678277,414.1460373407,570.8566252024,36.2077573747,False,538.6264223115,680.0710489350,602.4173287549,714.6163314443
2025-08-02,270.1971706349,488.1710357972,170.2457360474,258.1813792395,-229.9896565577,True,437.0804784912,620.9520098521,265.1588656563,324.5292265759
2025-08-03,421.4770363094,684.6778685569,345.1247206696,525.2889225903,-159.3889459666,True,681.8936799356,870.9084511040,549.7670110611,667.1738369438
2025-08-04,268.5468788690,448.0913147768,210.5710594786,300.6990839908,-147.3922307860,True,434.4932547351,569.9710079072,298.6577641374,366.6198985609
2025-08-05,157.6549968257,258.8493671062,212.2049996850,343.9802167494,85.1308496432,False,257.9808931823,331.1212229714,312.9755483845,431.4828103374
2025-08-06,193.9167019844,340.6219322475,289.1245712109,430.0695562876,89.4476240400,False,317.3182288965,435.7250397696,443.3886923369,542.7710338036
2025-08-07,146.9247150793,288.3960697305,280.9268566442,442.9631490140,154.5670792835,False,243.1857103447,371.0316496272,417.0831670663,561.0836225701
2025-08-08,197.2882949403,343.0328791814,179.4111348685,288.2657697083,-54.7671094731,True,326.5461220030,441.3238195583,268.2248036428,363.1446417666
2025-08-09,150.7216319447,271.4253309625,292.7906760806,499.3589647438,227.9336337812,False,249.4702707722,349.1981995169,448.4120517662,637.2230371675
