date,model,daily_mae
2025-03-03,7-day same-slot mean,231.9042055555
2025-03-03,DLinear,267.2088138704
2025-03-03,Last Week,283.5614208333
2025-03-03,PhaseStructuralFusion,150.4805587847
2025-03-03,SSA best config,305.7964148847
2025-03-03,Yesterday,190.5193006944
2025-03-04,7-day same-slot mean,108.9646298612
2025-03-04,DLinear,250.3114829156
2025-03-04,Last Week,283.6688208333
2025-03-04,PhaseStructuralFusion,120.8949955208
2025-03-04,SSA best config,276.8686473850
2025-03-04,Yesterday,140.3529381944
2025-03-05,7-day same-slot mean,137.1808881943
2025-03-05,DLinear,302.5407852503
2025-03-05,Last Week,147.6927847222
2025-03-05,PhaseStructuralFusion,131.4973440278
2025-03-05,SSA best config,267.7910321623
2025-03-05,Yesterday,179.5054583333
2025-03-06,7-day same-slot mean,108.2297919642
2025-03-06,DLinear,280.3540713183
2025-03-06,Last Week,200.0668395833
2025-03-06,PhaseStructuralFusion,117.9518485069
2025-03-06,SSA best config,136.8081012529
2025-03-06,Yesterday,122.0325888889
2025-03-07,7-day same-slot mean,106.3935140871
2025-03-07,DLinear,275.8432753671
2025-03-07,Last Week,141.0523756944
2025-03-07,PhaseStructuralFusion,104.8859703819
2025-03-07,SSA best config,169.1809962822
2025-03-07,Yesterday,99.2319097222
2025-03-08,7-day same-slot mean,176.0038541667
2025-03-08,DLinear,344.6538165565
2025-03-08,Last Week,196.9662534722
2025-03-08,PhaseStructuralFusion,147.0961169444
2025-03-08,SSA best config,217.6300406185
2025-03-08,Yesterday,144.6303493056
2025-03-09,7-day same-slot mean,193.1283799606
2025-03-09,DLinear,357.8927411748
2025-03-09,Last Week,369.3018722222
2025-03-09,PhaseStructuralFusion,195.1869824653
2025-03-09,SSA best config,187.5716178497
2025-03-09,Yesterday,105.7850868056
2025-03-10,7-day same-slot mean,137.0007884920
2025-03-10,DLinear,291.6158715683
2025-03-10,Last Week,211.9787437500
2025-03-10,PhaseStructuralFusion,147.8086337153
2025-03-10,SSA best config,213.0090448806
2025-03-10,Yesterday,200.1515972222
2025-03-11,7-day same-slot mean,133.1606266866
2025-03-11,DLinear,307.7667092676
2025-03-11,Last Week,222.8657291667
2025-03-11,PhaseStructuralFusion,202.8279769444
2025-03-11,SSA best config,323.0278906959
2025-03-11,Yesterday,209.2714250000
2025-03-12,7-day same-slot mean,150.9176054565
2025-03-12,DLinear,338.6308864574
2025-03-12,Last Week,188.7484611111
2025-03-12,PhaseStructuralFusion,123.6788780556
2025-03-12,SSA best config,232.8365827942
2025-03-12,Yesterday,102.8390791667
2025-03-13,7-day same-slot mean,210.9277851188
2025-03-13,DLinear,389.7355030988
2025-03-13,Last Week,221.0020104167
2025-03-13,PhaseStructuralFusion,238.3248484028
2025-03-13,SSA best config,280.9670700062
2025-03-13,Yesterday,272.2556270833
2025-03-14,7-day same-slot mean,166.8324159724
2025-03-14,DLinear,379.0011693910
2025-03-14,Last Week,222.3477256944
2025-03-14,PhaseStructuralFusion,246.1740524653
2025-03-14,SSA best config,369.0595581753
2025-03-14,Yesterday,306.4766986111
2025-03-15,7-day same-slot mean,165.7044224208
2025-03-15,DLinear,373.4095082169
2025-03-15,Last Week,189.4825722222
2025-03-15,PhaseStructuralFusion,223.2788243750
2025-03-15,SSA best config,270.2024003988
2025-03-15,Yesterday,270.7001277778
2025-03-16,7-day same-slot mean,141.1367467263
2025-03-16,DLinear,331.3822600825
2025-03-16,Last Week,179.1391180556
2025-03-16,PhaseStructuralFusion,190.7115728125
2025-03-16,SSA best config,280.0480095740
2025-03-16,Yesterday,236.4963034722
2025-03-17,7-day same-slot mean,276.8264791667
2025-03-17,DLinear,508.1878244735
2025-03-17,Last Week,414.3314687500
2025-03-17,PhaseStructuralFusion,305.5309729861
2025-03-17,SSA best config,322.1511734957
2025-03-17,Yesterday,217.6717215278
2025-03-18,7-day same-slot mean,147.1947664679
2025-03-18,DLinear,320.8499432004
2025-03-18,Last Week,199.2665000000
2025-03-18,PhaseStructuralFusion,151.0415788542
2025-03-18,SSA best config,152.4642072335
2025-03-18,Yesterday,201.7208437500
2025-03-19,7-day same-slot mean,174.7823196426
2025-03-19,DLinear,388.2118966015
2025-03-19,Last Week,182.7190083333
2025-03-19,PhaseStructuralFusion,117.9058299306
2025-03-19,SSA best config,178.2897070342
2025-03-19,Yesterday,90.1330055556
2025-03-20,7-day same-slot mean,82.0160154758
2025-03-20,DLinear,320.7603911253
2025-03-20,Last Week,219.4077312500
2025-03-20,PhaseStructuralFusion,95.7830735764
2025-03-20,SSA best config,169.3807031856
2025-03-20,Yesterday,160.6506111111
2025-03-21,7-day same-slot mean,201.6889751981
2025-03-21,DLinear,445.5063634739
2025-03-21,Last Week,211.5803513889
2025-03-21,PhaseStructuralFusion,207.5749391319
2025-03-21,SSA best config,314.9089094376
2025-03-21,Yesterday,228.7141812500
2025-03-22,7-day same-slot mean,106.2627583337
2025-03-22,DLinear,320.2129139912
2025-03-22,Last Week,233.9321625000
2025-03-22,PhaseStructuralFusion,137.1673044444
2025-03-22,SSA best config,142.6503141118
2025-03-22,Yesterday,206.5343833333
2025-03-23,7-day same-slot mean,174.8333046626
2025-03-23,DLinear,425.6682716503
2025-03-23,Last Week,289.9553625000
2025-03-23,PhaseStructuralFusion,217.7194915625
2025-03-23,SSA best config,256.1263666099
2025-03-23,Yesterday,182.3414687500
2025-03-24,7-day same-slot mean,120.8070559524
2025-03-24,DLinear,372.9848928756
2025-03-24,Last Week,174.8171652778
2025-03-24,PhaseStructuralFusion,153.7315242014
2025-03-24,SSA best config,213.6558897419
2025-03-24,Yesterday,211.4085590278
2025-03-25,7-day same-slot mean,124.0993970239
2025-03-25,DLinear,389.3307785381
2025-03-25,Last Week,145.2030854167
2025-03-25,PhaseStructuralFusion,151.2775895486
2025-03-25,SSA best config,190.9840975183
2025-03-25,Yesterday,186.8383708333
2025-03-26,7-day same-slot mean,190.7243241072
2025-03-26,DLinear,462.5774760783
2025-03-26,Last Week,203.9116090278
2025-03-26,PhaseStructuralFusion,225.0079030208
2025-03-26,SSA best config,314.8547191786
2025-03-26,Yesterday,262.2643138889
2025-03-27,7-day same-slot mean,107.9742755951
2025-03-27,DLinear,368.1564537320
2025-03-27,Last Week,167.8171881944
2025-03-27,PhaseStructuralFusion,108.9381266319
2025-03-27,SSA best config,133.6990756453
2025-03-27,Yesterday,174.7115166667
2025-03-28,7-day same-slot mean,111.5524262897
2025-03-28,DLinear,395.8941481600
2025-03-28,Last Week,106.3933375000
2025-03-28,PhaseStructuralFusion,109.2931579861
2025-03-28,SSA best config,189.4988330088
2025-03-28,Yesterday,134.9133388889
2025-03-29,7-day same-slot mean,234.1272896827
2025-03-29,DLinear,537.2180188249
2025-03-29,Last Week,351.3351006944
2025-03-29,PhaseStructuralFusion,243.8605969444
2025-03-29,SSA best config,247.2010452523
2025-03-29,Yesterday,166.1729729167
2025-03-30,7-day same-slot mean,139.8830909719
2025-03-30,DLinear,446.1025837304
2025-03-30,Last Week,248.6795402778
2025-03-30,PhaseStructuralFusion,154.9350246528
2025-03-30,SSA best config,116.5621903799
2025-03-30,Yesterday,142.6810472222
2025-03-31,7-day same-slot mean,185.1163142857
2025-03-31,DLinear,413.1322899212
2025-03-31,Last Week,186.4258388889
2025-03-31,PhaseStructuralFusion,176.1778843403
2025-03-31,SSA best config,228.3560786160
2025-03-31,Yesterday,193.8191729167
2025-04-01,7-day same-slot mean,229.4692973210
2025-04-01,DLinear,487.4701185198
2025-04-01,Last Week,208.9115951389
2025-04-01,PhaseStructuralFusion,160.3458472917
2025-04-01,SSA best config,293.7692974022
2025-04-01,Yesterday,206.8509604167
2025-04-02,7-day same-slot mean,274.2682313493
2025-04-02,DLinear,451.3134048005
2025-04-02,Last Week,310.9513798611
2025-04-02,PhaseStructuralFusion,221.6249120486
2025-04-02,SSA best config,332.0794993619
2025-04-02,Yesterday,229.0547986111
2025-04-03,7-day same-slot mean,139.8131075395
2025-04-03,DLinear,417.3934214304
2025-04-03,Last Week,155.4254416667
2025-04-03,PhaseStructuralFusion,205.5220094792
2025-04-03,SSA best config,363.2823084693
2025-04-03,Yesterday,309.1051173611
2025-04-04,7-day same-slot mean,193.8963482145
2025-04-04,DLinear,525.7971824564
2025-04-04,Last Week,190.2791125000
2025-04-04,PhaseStructuralFusion,169.5782456250
2025-04-04,SSA best config,239.8613944383
2025-04-04,Yesterday,165.7350069444
2025-04-05,7-day same-slot mean,134.1432326391
2025-04-05,DLinear,437.8061192703
2025-04-05,Last Week,247.1478611111
2025-04-05,PhaseStructuralFusion,228.5967828819
2025-04-05,SSA best config,225.5865777774
2025-04-05,Yesterday,236.4916993056
2025-04-06,7-day same-slot mean,105.0138518847
2025-04-06,DLinear,498.3021435272
2025-04-06,Last Week,125.0578472222
2025-04-06,PhaseStructuralFusion,112.1118950000
2025-04-06,SSA best config,185.0143172840
2025-04-06,Yesterday,150.5958819444
2025-04-07,7-day same-slot mean,192.0759185515
2025-04-07,DLinear,534.0912076405
2025-04-07,Last Week,170.3221159722
2025-04-07,PhaseStructuralFusion,139.4572465625
2025-04-07,SSA best config,233.9937961996
2025-04-07,Yesterday,174.4218625000
2025-04-08,7-day same-slot mean,141.3598273809
2025-04-08,DLinear,476.0193230764
2025-04-08,Last Week,317.9214763889
2025-04-08,PhaseStructuralFusion,256.9790195833
2025-04-08,SSA best config,240.1254097411
2025-04-08,Yesterday,271.5091444444
2025-04-09,7-day same-slot mean,202.6467761904
2025-04-09,DLinear,433.5937883332
2025-04-09,Last Week,205.4687930556
2025-04-09,PhaseStructuralFusion,206.6093197917
2025-04-09,SSA best config,269.2309327201
2025-04-09,Yesterday,281.8848305556
2025-04-10,7-day same-slot mean,144.1426873012
2025-04-10,DLinear,483.4074052897
2025-04-10,Last Week,163.7487923611
2025-04-10,PhaseStructuralFusion,198.1134571875
2025-04-10,SSA best config,324.5528678604
2025-04-10,Yesterday,265.1997666667
2025-04-11,7-day same-slot mean,185.9899330358
2025-04-11,DLinear,569.4250201989
2025-04-11,Last Week,111.3950076389
2025-04-11,PhaseStructuralFusion,160.1857589236
2025-04-11,SSA best config,262.1059474605
2025-04-11,Yesterday,234.7226958333
2025-04-12,7-day same-slot mean,160.1947589285
2025-04-12,DLinear,470.9516967237
2025-04-12,Last Week,191.9632000000
2025-04-12,PhaseStructuralFusion,173.8465242361
2025-04-12,SSA best config,253.7532195865
2025-04-12,Yesterday,234.6661861111
2025-04-13,7-day same-slot mean,105.9736744044
2025-04-13,DLinear,484.6168943851
2025-04-13,Last Week,144.0898652778
2025-04-13,PhaseStructuralFusion,130.0744781250
2025-04-13,SSA best config,213.4424856347
2025-04-13,Yesterday,166.1393472222
2025-04-14,7-day same-slot mean,130.2929688492
2025-04-14,DLinear,554.8148779761
2025-04-14,Last Week,238.9643222222
2025-04-14,PhaseStructuralFusion,152.0701506944
2025-04-14,SSA best config,220.4683342073
2025-04-14,Yesterday,153.7686458333
2025-04-15,7-day same-slot mean,231.3624393851
2025-04-15,DLinear,584.6583722775
2025-04-15,Last Week,274.2970006944
2025-04-15,PhaseStructuralFusion,238.1953794444
2025-04-15,SSA best config,270.0615396175
2025-04-15,Yesterday,242.7860548611
2025-04-16,7-day same-slot mean,127.4566596229
2025-04-16,DLinear,499.2243376743
2025-04-16,Last Week,181.9980069444
2025-04-16,PhaseStructuralFusion,175.2203461458
2025-04-16,SSA best config,257.0621211860
2025-04-16,Yesterday,271.4568715278
2025-04-17,7-day same-slot mean,105.8863493052
2025-04-17,DLinear,524.7694792344
2025-04-17,Last Week,190.4775583333
2025-04-17,PhaseStructuralFusion,137.8041661111
2025-04-17,SSA best config,240.6973100501
2025-04-17,Yesterday,175.4072250000
2025-04-18,7-day same-slot mean,103.2369886904
2025-04-18,DLinear,527.7490287805
2025-04-18,Last Week,154.1188784722
2025-04-18,PhaseStructuralFusion,125.8459618750
2025-04-18,SSA best config,201.5515525921
2025-04-18,Yesterday,165.0788951389
2025-04-19,7-day same-slot mean,137.0999814486
2025-04-19,DLinear,504.9145466943
2025-04-19,Last Week,214.5482604167
2025-04-19,PhaseStructuralFusion,158.3805430208
2025-04-19,SSA best config,144.6001877826
2025-04-19,Yesterday,149.0734138889
2025-04-20,7-day same-slot mean,140.8225525793
2025-04-20,DLinear,527.4575860630
2025-04-20,Last Week,186.3617020833
2025-04-20,PhaseStructuralFusion,146.5732767708
2025-04-20,SSA best config,195.4327644417
2025-04-20,Yesterday,161.3468180556
2025-04-21,7-day same-slot mean,211.5764993054
2025-04-21,DLinear,670.4631287856
2025-04-21,Last Week,201.2248743056
2025-04-21,PhaseStructuralFusion,209.4669023958
2025-04-21,SSA best config,289.8095675149
2025-04-21,Yesterday,239.6158569444
2025-04-22,7-day same-slot mean,133.9539369047
2025-04-22,DLinear,564.4126164770
2025-04-22,Last Week,185.6055416667
2025-04-22,PhaseStructuralFusion,159.0096011806
2025-04-22,SSA best config,207.9269518362
2025-04-22,Yesterday,233.1156888889
2025-04-23,7-day same-slot mean,158.1323671625
2025-04-23,DLinear,605.3599722031
2025-04-23,Last Week,207.8125277778
2025-04-23,PhaseStructuralFusion,134.2549412847
2025-04-23,SSA best config,237.6159826709
2025-04-23,Yesterday,111.2651826389
2025-04-24,7-day same-slot mean,192.1136069444
2025-04-24,DLinear,702.3010127974
2025-04-24,Last Week,268.9542548611
2025-04-24,PhaseStructuralFusion,215.0403368750
2025-04-24,SSA best config,316.1680890892
2025-04-24,Yesterday,224.6577618056
2025-04-25,7-day same-slot mean,146.8748174600
2025-04-25,DLinear,603.3192949105
2025-04-25,Last Week,222.3332937500
2025-04-25,PhaseStructuralFusion,157.2467826389
2025-04-25,SSA best config,196.8594016443
2025-04-25,Yesterday,139.0438104167
2025-04-26,7-day same-slot mean,276.2920722222
2025-04-26,DLinear,714.9036842577
2025-04-26,Last Week,341.5784375000
2025-04-26,PhaseStructuralFusion,320.3701439931
2025-04-26,SSA best config,335.1902736800
2025-04-26,Yesterday,320.3152618056
2025-04-27,7-day same-slot mean,125.8500310512
2025-04-27,DLinear,556.9444424681
2025-04-27,Last Week,172.9304937500
2025-04-27,PhaseStructuralFusion,111.9380760417
2025-04-27,SSA best config,148.2892257398
2025-04-27,Yesterday,186.5199520833
2025-04-28,7-day same-slot mean,354.5311978175
2025-04-28,DLinear,589.9906197887
2025-04-28,Last Week,395.7711770833
2025-04-28,PhaseStructuralFusion,368.3907631597
2025-04-28,SSA best config,389.3162041343
2025-04-28,Yesterday,367.0611583333
2025-04-29,7-day same-slot mean,186.1704990078
2025-04-29,DLinear,650.7205572469
2025-04-29,Last Week,246.7692222222
2025-04-29,PhaseStructuralFusion,325.7719932986
2025-04-29,SSA best config,506.6496918171
2025-04-29,Yesterday,399.8796854167
2025-04-30,7-day same-slot mean,210.0589629959
2025-04-30,DLinear,656.6649773627
2025-04-30,Last Week,210.1937430556
2025-04-30,PhaseStructuralFusion,208.2219068403
2025-04-30,SSA best config,342.0752356263
2025-04-30,Yesterday,245.5833909722
2025-05-01,7-day same-slot mean,133.6833977178
2025-05-01,DLinear,586.1780980864
2025-05-01,Last Week,202.2067215278
2025-05-01,PhaseStructuralFusion,225.8689394097
2025-05-01,SSA best config,214.2805570425
2025-05-01,Yesterday,259.1828194444
2025-05-02,7-day same-slot mean,339.1230472224
2025-05-02,DLinear,524.9124048072
2025-05-02,Last Week,393.2908750000
2025-05-02,PhaseStructuralFusion,380.2764704861
2025-05-02,SSA best config,377.7553871294
2025-05-02,Yesterday,377.0316736111
2025-05-03,7-day same-slot mean,118.9119125993
2025-05-03,DLinear,545.0190524759
2025-05-03,Last Week,291.2326138889
2025-05-03,PhaseStructuralFusion,127.5481498958
2025-05-03,SSA best config,313.2394045715
2025-05-03,Yesterday,234.7691743056
2025-05-04,7-day same-slot mean,206.2827306549
2025-05-04,DLinear,689.4522457949
2025-05-04,Last Week,305.1484340278
2025-05-04,PhaseStructuralFusion,239.0163856597
2025-05-04,SSA best config,349.3552689990
2025-05-04,Yesterday,202.3844763889
2025-05-05,7-day same-slot mean,206.9767482141
2025-05-05,DLinear,511.1718329901
2025-05-05,Last Week,315.4896159722
2025-05-05,PhaseStructuralFusion,206.1899230903
2025-05-05,SSA best config,262.5923102735
2025-05-05,Yesterday,267.0443777778
2025-05-06,7-day same-slot mean,207.5859175595
2025-05-06,DLinear,604.4713200391
2025-05-06,Last Week,260.6764083333
2025-05-06,PhaseStructuralFusion,158.5919819444
2025-05-06,SSA best config,212.3217279251
2025-05-06,Yesterday,164.9562194444
2025-05-07,7-day same-slot mean,101.0662058531
2025-05-07,DLinear,535.6381802590
2025-05-07,Last Week,256.2636215278
2025-05-07,PhaseStructuralFusion,145.5679824653
2025-05-07,SSA best config,213.8289073390
2025-05-07,Yesterday,186.3644138889
2025-05-08,7-day same-slot mean,185.2070183531
2025-05-08,DLinear,561.6167405781
2025-05-08,Last Week,335.0481958333
2025-05-08,PhaseStructuralFusion,250.0881699653
2025-05-08,SSA best config,271.8909553310
2025-05-08,Yesterday,187.2442159722
2025-05-09,7-day same-slot mean,119.8389992064
2025-05-09,DLinear,558.7093783655
2025-05-09,Last Week,253.6895659722
2025-05-09,PhaseStructuralFusion,187.1729065278
2025-05-09,SSA best config,266.0023827828
2025-05-09,Yesterday,190.6207937500
2025-05-10,7-day same-slot mean,205.1061046627
2025-05-10,DLinear,505.4700985372
2025-05-10,Last Week,227.6910861111
2025-05-10,PhaseStructuralFusion,191.0210003472
2025-05-10,SSA best config,226.1363047656
2025-05-10,Yesterday,196.3267875000
2025-05-11,7-day same-slot mean,165.7710645834
2025-05-11,DLinear,595.1950533724
2025-05-11,Last Week,274.7489555556
2025-05-11,PhaseStructuralFusion,176.5911518056
2025-05-11,SSA best config,252.6960830396
2025-05-11,Yesterday,202.2406430556
2025-05-12,7-day same-slot mean,290.7286293649
2025-05-12,DLinear,743.5356911228
2025-05-12,Last Week,317.5656923611
2025-05-12,PhaseStructuralFusion,294.5902363889
2025-05-12,SSA best config,381.2944677556
2025-05-12,Yesterday,318.1806076389
2025-05-13,7-day same-slot mean,93.0266162698
2025-05-13,DLinear,637.9285587227
2025-05-13,Last Week,234.4313138889
2025-05-13,PhaseStructuralFusion,132.7462121181
2025-05-13,SSA best config,217.6718391142
2025-05-13,Yesterday,231.6255159722
2025-05-14,7-day same-slot mean,128.9563921626
2025-05-14,DLinear,669.5474656285
2025-05-14,Last Week,196.3064645833
2025-05-14,PhaseStructuralFusion,138.6937444444
2025-05-14,SSA best config,245.1696742632
2025-05-14,Yesterday,141.1531756944
2025-05-15,7-day same-slot mean,144.4805064482
2025-05-15,DLinear,617.6062386587
2025-05-15,Last Week,186.7271284722
2025-05-15,PhaseStructuralFusion,158.1936599306
2025-05-15,SSA best config,176.6436267283
2025-05-15,Yesterday,175.3161395833
2025-05-16,7-day same-slot mean,243.9373306547
2025-05-16,DLinear,767.8922435289
2025-05-16,Last Week,307.4755659722
2025-05-16,PhaseStructuralFusion,256.1816293750
2025-05-16,SSA best config,295.2304545706
2025-05-16,Yesterday,226.0120076389
2025-05-17,7-day same-slot mean,190.2206196427
2025-05-17,DLinear,640.2643041174
2025-05-17,Last Week,247.7596020833
2025-05-17,PhaseStructuralFusion,228.5863264931
2025-05-17,SSA best config,328.2259819957
2025-05-17,Yesterday,321.8926250000
2025-05-18,7-day same-slot mean,161.8474966268
2025-05-18,DLinear,689.1089451971
2025-05-18,Last Week,234.9370833333
2025-05-18,PhaseStructuralFusion,237.6754457986
2025-05-18,SSA best config,355.4037724880
2025-05-18,Yesterday,268.3166729167
2025-05-19,7-day same-slot mean,241.5259513888
2025-05-19,DLinear,778.4430235566
2025-05-19,Last Week,337.4901618056
2025-05-19,PhaseStructuralFusion,290.2536148264
2025-05-19,SSA best config,380.6715805281
2025-05-19,Yesterday,310.9656750000
2025-05-20,7-day same-slot mean,162.4127375992
2025-05-20,DLinear,639.6959983994
2025-05-20,Last Week,178.3496944444
2025-05-20,PhaseStructuralFusion,258.1800381944
2025-05-20,SSA best config,332.4370921756
2025-05-20,Yesterday,341.7777444444
2025-05-21,7-day same-slot mean,221.6860895835
