period,scope_type,scope_value,method,n,mae_kw,rmse_kw,bias_kw,nrmse_pct
validation,lead_bin,1-3h,发布时间分组融合,168,92.6170125411,192.4903239841,-39.4470928661,2.7925377318
validation,lead_bin,1-3h,在线因果融合,168,113.3075573980,225.6884227133,-49.6259885204,3.2741564511
validation,lead_bin,4-6h,官方预测,168,58.3230053571,137.0140764057,-23.0153279762,1.9642011150
validation,lead_bin,4-6h,昨日同刻,168,112.2450892857,255.3787901242,-12.7611607143,3.6610494154
validation,lead_bin,4-6h,上周同刻,168,131.3495535714,277.0085256573,-91.8598214286,3.9711281443
validation,lead_bin,4-6h,七日同刻均值,168,92.3734056122,197.7377623172,-52.4097576531,2.8347213908
validation,lead_bin,4-6h,静态凸融合,168,82.7352795697,177.7549769907,-48.7891028452,2.5482529472
validation,lead_bin,4-6h,提前期分箱融合,168,58.7067076079,136.0109054269,-39.1859245568,1.9498198952
validation,lead_bin,4-6h,发布时间分组融合,168,63.3207920717,138.3501138531,-43.3040028157,1.9833542292
validation,lead_bin,4-6h,在线因果融合,168,92.3734056122,197.7377623172,-52.4097576531,2.8347213908
validation,lead_bin,7-12h,官方预测,336,100.3301690476,211.1844567223,-5.9708500000,3.0274899941
validation,lead_bin,7-12h,昨日同刻,336,128.5473214286,273.7768213989,-12.5473214286,3.9247992029
validation,lead_bin,7-12h,上周同刻,336,137.1501116071,279.4235262191,-86.5920758929,4.0057490162
validation,lead_bin,7-12h,七日同刻均值,336,102.8404815051,212.1738518209,-51.0178730867,3.0416737263
validation,lead_bin,7-12h,静态凸融合,336,93.2242259416,191.5285108815,-45.4692122516,2.7457070434
validation,lead_bin,7-12h,提前期分箱融合,336,86.2061715704,176.7845118557,-40.5636177558,2.5343405905
validation,lead_bin,7-12h,发布时间分组融合,336,88.9175276223,179.3997856698,-40.6785402311,2.5718325321
validation,lead_bin,7-12h,在线因果融合,336,102.8404815051,212.1738518209,-51.0178730867,3.0416737263
validation,lead_bin,13-18h,官方预测,336,160.4234205357,344.1352543134,25.4662449405,4.9334409134
validation,lead_bin,13-18h,昨日同刻,336,126.9162946429,272.2725094769,-8.9131696429,3.9032337461
validation,lead_bin,13-18h,上周同刻,336,140.2281250000,282.4659041480,-82.8732142857,4.0493638205
validation,lead_bin,13-18h,七日同刻均值,336,103.1567602041,213.0899811186,-47.2225127551,3.0548071373
validation,lead_bin,13-18h,静态凸融合,336,92.9342727801,192.4315210455,-38.2690850845,2.7586523817
validation,lead_bin,13-18h,提前期分箱融合,336,100.1732025524,206.6602070818,-44.8465159570,2.9626314305
validation,lead_bin,13-18h,发布时间分组融合,336,96.0859798613,198.3759938796,-41.3836067804,2.8438709262
validation,lead_bin,13-18h,在线因果融合,336,103.1567602041,213.0899811186,-47.2225127551,3.0548071373
validation,lead_bin,19-24h,官方预测,336,225.3044419643,469.0477720829,-13.8781866071,6.7241569706
validation,lead_bin,19-24h,昨日同刻,336,128.4462053571,274.6576703848,-9.7852678571,3.9374268439
validation,lead_bin,19-24h,上周同刻,336,141.7677455357,284.5505326559,-83.1907366071,4.0792485575
validation,lead_bin,19-24h,七日同刻均值,336,104.8988201531,214.7678525104,-48.4328443878,3.0788607013
validation,lead_bin,19-24h,静态凸融合,336,103.3583866400,211.0988123879,-44.1765791973,3.0262622174
validation,lead_bin,19-24h,提前期分箱融合,336,103.4729173979,210.5923333951,-45.3597338999,3.0190014554
validation,lead_bin,19-24h,发布时间分组融合,336,104.4615661840,213.3962130578,-45.1310926899,3.0591972054
validation,lead_bin,19-24h,在线因果融合,336,104.8988201531,214.7678525104,-48.4328443878,3.0788607013
validation,release_hour,0,官方预测,336,126.1066529762,261.7560106818,19.3296464286,3.7524717280
validation,release_hour,0,昨日同刻,336,128.5473214286,273.7768213989,-12.5473214286,3.9247992029
validation,release_hour,0,上周同刻,336,137.1501116071,279.4235262191,-86.5920758929,4.0057490162
validation,release_hour,0,七日同刻均值,336,102.8404815051,212.1738518209,-51.0178730867,3.0416737263
validation,release_hour,0,静态凸融合,336,88.4917485300,184.4588552798,-42.3528271051,2.6443581472
validation,release_hour,0,提前期分箱融合,336,89.6705623060,188.4218399243,-43.2653765913,2.7011705497
validation,release_hour,0,发布时间分组融合,336,92.9501417980,193.1062391620,-45.2698484777,2.7683249797
validation,release_hour,0,在线因果融合,336,102.8404815051,212.1738518209,-51.0178730867,3.0416737263
validation,release_hour,6,官方预测,336,74.0116059524,159.1312650339,-17.5606232143,2.2812678552
validation,release_hour,6,昨日同刻,336,128.5473214286,273.7768213989,-12.5473214286,3.9247992029
validation,release_hour,6,上周同刻,336,137.1501116071,279.4235262191,-86.5920758929,4.0057490162
validation,release_hour,6,七日同刻均值,336,102.8404815051,212.1738518209,-51.0178730867,3.0416737263
validation,release_hour,6,静态凸融合,336,94.2746508264,193.0571483402,-46.8967809635,2.7676212254
validation,release_hour,6,提前期分箱融合,336,73.9305096361,162.1788751899,-36.7015940821,2.3249576674
validation,release_hour,6,发布时间分组融合,336,74.3412173497,154.1735960770,-35.6964073803,2.2101958957
validation,release_hour,6,在线因果融合,336,102.8404815051,212.1738518209,-51.0178730867,3.0416737263
validation,release_hour,12,官方预测,336,139.5277336310,366.0542180398,-9.7293973214,5.2476659487
validation,release_hour,12,昨日同刻,336,126.9162946429,272.2725094769,-8.9131696429,3.9032337461
validation,release_hour,12,上周同刻,336,140.2281250000,282.4659041480,-82.8732142857,4.0493638205
validation,release_hour,12,七日同刻均值,336,103.1567602041,213.0899811186,-47.2225127551,3.0548071373
validation,release_hour,12,静态凸融合,336,99.1879750382,207.2137393055,-42.6043034498,2.9705667365
validation,release_hour,12,提前期分箱融合,336,69.9162556006,160.8840378861,-30.0253142169,2.3063951887
validation,release_hour,12,发布时间分组融合,336,99.3269506591,207.3326731549,-42.9210308964,2.9722717437
validation,release_hour,12,在线因果融合,336,103.1567602041,213.0899811186,-47.2225127551,3.0548071373
validation,release_hour,18,官方预测,336,190.9959544643,407.9680064778,-0.5393366071,5.8485320213
validation,release_hour,18,昨日同刻,336,128.4462053571,274.6576703848,-9.7852678571,3.9374268439
validation,release_hour,18,上周同刻,336,141.7677455357,284.5505326559,-83.1907366071,4.0792485575
validation,release_hour,18,七日同刻均值,336,104.8988201531,214.7678525104,-48.4328443878,3.0788607013
validation,release_hour,18,静态凸融合,336,98.8129122347,198.4100063903,-42.5335681943,2.8443585215
validation,release_hour,18,提前期分箱融合,336,101.3544093488,203.9972620808,-45.8434461212,2.9244560862
validation,release_hour,18,发布时间分组融合,336,100.8156661671,202.7943453864,-44.6815007879,2.9072113595
validation,release_hour,18,在线因果融合,336,104.8988201531,214.7678525104,-48.4328443878,3.0788607013
evaluation,overall,all,官方预测,32028,191.8320319783,447.9712247830,-32.3933284251,4.4815552874
evaluation,overall,all,昨日同刻,32028,186.5136954384,376.8433236323,0.8358315380,3.7699836421
evaluation,overall,all,上周同刻,32028,216.0424304515,422.3415865590,4.6653955133,4.2251534600
evaluation,overall,all,七日同刻均值,32028,153.8634537414,305.4355917284,2.8085625970,3.0556125379
evaluation,overall,all,静态凸融合,32028,139.2882220820,276.9239140427,-1.5274254584,2.7703784586
evaluation,overall,all,提前期分箱融合,32028,121.7323801206,252.9873330946,-0.8094537692,2.5309141694
evaluation,overall,all,发布时间分组融合,32028,132.1941075224,265.5564489267,-1.2754924485,2.6566570395
evaluation,overall,all,在线因果融合,32028,153.8634537414,305.4355917284,2.8085625970,3.0556125379
evaluation,daylight,actual_pv_gt_0,官方预测,16135,380.7868807065,631.1470305165,-64.3008071150,6.3140669652
evaluation,daylight,actual_pv_gt_0,昨日同刻,16135,370.2262093275,530.9348552062,1.6553617911,5.3115329200
evaluation,daylight,actual_pv_gt_0,上周同刻,16135,428.5811969321,595.0224532482,8.9974550666,5.9526725691
evaluation,daylight,actual_pv_gt_0,七日同刻均值,16135,305.3157233609,430.3244837220,5.4715303909,4.3050152748
evaluation,daylight,actual_pv_gt_0,静态凸融合,16135,276.3966109250,390.1549616504,-3.1226676264,3.9031547889
evaluation,daylight,actual_pv_gt_0,提前期分箱融合,16135,241.5574872582,356.4308829949,-1.6882428827,3.5657752550
evaluation,daylight,actual_pv_gt_0,发布时间分组融合,16135,262.3209909078,374.1395349520,-2.6163718357,3.7429346314
evaluation,daylight,actual_pv_gt_0,在线因果融合,16135,305.3157233609,430.3244837220,5.4715303909,4.3050152748
evaluation,lead_bin,1-3h,官方预测,4008,35.1993236776,70.5761925708,0.9669625998,0.7212424943
evaluation,lead_bin,1-3h,昨日同刻,4008,187.5690400449,362.7660627267,0.8314277695,3.7072317221
evaluation,lead_bin,1-3h,上周同刻,4008,223.2706399701,422.9654120915,4.9335142216,4.3224296708
evaluation,lead_bin,1-3h,七日同刻均值,4008,156.4427675898,301.7847991556,2.9482236420,3.0840431221
evaluation,lead_bin,1-3h,静态凸融合,4008,137.4040709076,265.0078227800,2.7041820873,2.7082064950
evaluation,lead_bin,1-3h,提前期分箱融合,4008,38.2934544196,73.7095597793,1.2224884969,0.7532634563
evaluation,lead_bin,1-3h,发布时间分组融合,4008,118.9345592016,241.9147849669,1.9697950128,2.4722107634
evaluation,lead_bin,1-3h,在线因果融合,4008,156.4427675898,301.7847991556,2.9482236420,3.0840431221
evaluation,lead_bin,4-6h,官方预测,4008,79.8161964321,173.3196672119,-2.2757639471,1.7339097425
evaluation,lead_bin,4-6h,昨日同刻,4008,185.2774981287,390.1223891058,0.7039577096,3.9028289295
evaluation,lead_bin,4-6h,上周同刻,4008,208.4946762725,421.2901214550,4.3521800150,4.2146344830
